,GSE000000
1,4.57555
10,10.1704
100,10.8722
1000,6.4965
10000,7.14735
100008587,14.4504
100008588,13.069
100008589,18.0905
100009676,6.9685
10001,9.6534
10002,5.50665
10003,1.3279
100036519,5.398
100037417,3.6393
100038246,4.0707
10004,1.3279
100048912,1.3279
100049587,7.41075
100049615,5.0463
10005,9.26015
10006,10.588
10007,7.9582
100073347,4.4703
10008,12.2818
10009,10.1951
100093630,7.97975
1001,12.1595
10010,10.8621
100101467,6.2829
100101490,6.3731
100101938,1.3279
10011,10.3878
100113383,3.3465
100113386,5.2206
100113390,7.556
100113393,3.9834
100113403,1.3279
100113404,5.7393
100113407,5.52675
100124412,1.3279
100124537,5.8428
100124692,5.3901
100124700,1.3279
100125288,9.62105
100125556,6.4224
100126270,4.952
100126447,1.3279
100126448,1.3279
100126584,3.0289
100126693,10.1574
100126780,5.3245
100126784,4.7888
100126791,1.3279
100126793,9.6389
100127206,1.3279
100127885,7.31015
100127886,7.126
100127888,11.0427
100127889,3.0283
100127904,9.007
100127909,10.6964
100127910,1.3279
100127940,4.2847
100127946,5.1471
100127951,2.9896
100127961,4.2231
100127972,1.3279
100127983,1.3279
100127991,1.3279
100127994,1.3279
100128001,3.5049
100128006,3.2775
100128019,6.8547
100128035,1.3279
100128054,1.3279
100128063,3.7145
100128075,1.3279
100128077,3.35085
100128081,7.1645
100128105,1.3279
100128107,14.3727
100128124,4.422
100128126,9.0857
100128131,5.1098
100128139,6.3177
100128160,1.3279
100128164,3.1024
100128170,4.2727
100128172,3.9195
100128175,4.6141
100128176,1.3279
100128184,7.3587
100128185,1.3279
100128191,6.7038
100128198,4.9329
100128202,8.7888
100128219,7.0951
100128226,1.3279
100128236,1.3279
100128239,5.57885
100128242,1.3279
100128252,4.92445
100128262,1.3279
100128264,1.3279
100128278,6.9417
100128281,6.0137
100128288,6.3251
100128292,7.2387
100128298,5.26
100128304,4.0252
100128320,8.8723
100128327,8.0222
100128333,4.8095
100128338,8.8948
100128343,6.4188
100128348,10.04
100128356,4.0752
100128361,5.9021
100128366,11.9647
100128371,4.1332
100128378,1.3279
100128385,5.5364
100128386,6.4125
100128398,6.7367
100128401,1.3279
100128402,8.5789
100128406,4.5764
100128420,7.2753
100128429,5.1363
100128437,5.9219
100128477,6.1341
100128482,1.3279
100128496,4.75825
100128498,10.8967
100128501,2.59
100128508,6.506
100128511,3.7834
100128517,5.2708
100128529,1.3279
100128531,6.1651
100128551,1.3279
100128553,10.98265
100128554,6.1609
100128563,9.3483
100128569,3.886
100128571,3.4952
100128573,4.0358
100128574,1.3279
100128591,3.7944
100128593,10.3328
100128607,4.4956
100128640,6.5288
100128644,5.4769
100128651,2.9488
100128653,1.3279
100128657,1.3279
100128668,2.8649
100128670,6.4045
100128675,5.6659
100128682,1.3279
100128697,3.3108
100128699,1.3279
100128703,6.8195
100128714,9.0321
100128727,3.6602
100128731,14.4109
100128737,8.5595
100128751,3.6656
100128782,6.2613
100128787,1.3279
100128788,9.4476
100128792,1.3279
100128811,7.1887
100128816,6.643
100128818,7.5891
100128822,9.4885
100128830,4.5916
100128840,3.8251
100128843,7.5099
100128851,9.3271
100128857,5.6674
100128869,3.95495
100128881,7.39445
100128885,1.3279
100128893,6.2595
100128905,5.4995
100128908,2.8179
100128922,4.1218
100128927,10.3961
100128946,7.2157
100128950,5.6744
100128977,7.4193
100128979,7.9875
100128988,2.7719
100128993,1.3279
100129027,2.64715
100129033,1.3279
100129034,8.8932
100129042,3.6481
100129048,4.305
100129055,1.3279
100129060,6.1141
100129066,3.7825
100129069,6.3763
100129072,3.6652
100129075,6.2635
100129089,1.3279
100129094,3.7005
100129098,1.3279
100129104,9.4068
100129110,5.7468
100129111,5.2857
100129112,4.4716
100129113,6.8791
100129115,7.4736
100129119,2.81435
100129125,1.3279
100129129,9.2675
100129138,7.9295
100129148,1.3279
100129171,4.4826
100129186,7.0543
100129195,5.8293
100129196,8.2875
100129198,1.3279
100129213,4.474
100129216,6.2002
100129223,1.3279
100129233,6.5627
100129239,2.6836
100129240,3.5869
100129250,10.3836
100129269,8.2763
100129271,6.5742
100129275,5.436
100129280,5.9871
100129292,6.9812
100129297,6.3429
100129311,1.3279
100129312,1.3279
100129316,1.3279
100129322,1.3279
100129324,7.8121
100129345,1.3279
100129354,7.6174
100129363,5.1967
100129373,6.555
100129380,7.4999
100129387,9.3197
100129393,4.1875
100129396,3.4579
100129397,1.3279
100129399,5.0947
100129405,15.7548
100129406,9.6379
100129407,3.9875
100129408,1.3279
100129413,1.3279
100129424,16.853
100129427,1.3279
100129447,11.8234
100129449,1.3279
100129460,9.426
100129461,7.6022
100129463,5.9717
100129464,4.132
100129476,1.3279
100129482,9.4215
100129502,7.3907
100129515,1.3279
100129516,6.3866
100129518,8.246
100129520,1.3279
100129534,8.6573
100129543,3.4586
100129550,9.4707
100129572,1.3279
100129581,1.3279
100129583,6.147
100129596,8.8882
100129597,1.3279
100129603,1.3279
100129617,6.259
100129620,5.6522
100129648,5.8584
100129654,3.8379
100129662,5.2395
100129675,7.4142
100129703,3.02285
100129716,1.3279
100129717,1.3279
100129721,6.6083
100129722,11.4394
100129726,8.5549
100129744,1.3279
100129763,7.0598
100129775,1.3279
100129781,1.3279
100129785,4.5178
100129792,3.901
